"CPRO","CMUN","DC","NOMBRE"
"06","001","6","Acedera"
"06","002","1","Aceuchal"
"06","003","7","Ahillones"
"06","004","2","Alange"
"06","005","5","Albuera, La"
"06","006","8","Alburquerque"
"06","007","4","Alconchel"
"06","008","0","Alconera"
"06","009","3","Aljuc�n"
"06","010","7","Almendral"
"06","011","4","Almendralejo"
"06","012","9","Arroyo de San Serv�n"
"06","013","5","Atalaya"
"06","014","0","Azuaga"
"06","015","3","Badajoz"
"06","016","6","Barcarrota"
"06","017","2","Baterno"
"06","018","8","Benquerencia de la Serena"
"06","019","1","Berlanga"
"06","020","5","Bienvenida"
"06","021","2","Bodonal de la Sierra"
"06","022","7","Burguillos del Cerro"
"06","023","3","Cabeza del Buey"
"06","024","8","Cabeza la Vaca"
"06","025","1","Calamonte"
"06","026","4","Calera de Le�n"
"06","027","0","Calzadilla de los Barros"
"06","028","6","Campanario"
"06","029","9","Campillo de Llerena"
"06","030","3","Capilla"
"06","031","0","Carmonita"
"06","032","5","Carrascalejo, El"
"06","033","1","Casas de Don Pedro"
"06","034","6","Casas de Reina"
"06","035","9","Castilblanco"
"06","036","2","Castuera"
"06","042","3","Cheles"
"06","037","8","Codosera, La"
"06","038","4","Cordobilla de L�cara"
"06","039","7","Coronada, La"
"06","040","1","Corte de Peleas"
"06","041","8","Cristina"
"06","043","9","Don �lvaro"
"06","044","4","Don Benito"
"06","045","7","Entr�n Bajo"
"06","046","0","Esparragalejo"
"06","047","6","Esparragosa de la Serena"
"06","048","2","Esparragosa de Lares"
"06","049","5","Feria"
"06","050","8","Fregenal de la Sierra"
"06","051","5","Fuenlabrada de los Montes"
"06","052","0","Fuente de Cantos"
"06","053","6","Fuente del Arco"
"06","054","1","Fuente del Maestre"
"06","055","4","Fuentes de Le�n"
"06","056","7","Garbayuela"
"06","057","3","Garlitos"
"06","058","9","Garrovilla, La"
"06","059","2","Granja de Torrehermosa"
"06","903","8","Guadiana del Caudillo"
"06","060","6","Guare�a"
"06","061","3","Haba, La"
"06","062","8","Helechosa de los Montes"
"06","063","4","Herrera del Duque"
"06","064","9","Higuera de la Serena"
"06","065","2","Higuera de Llerena"
"06","066","5","Higuera de Vargas"
"06","067","1","Higuera la Real"
"06","068","7","Hinojosa del Valle"
"06","069","0","Hornachos"
"06","070","4","Jerez de los Caballeros"
"06","071","1","Lapa, La"
"06","073","2","Llera"
"06","074","7","Llerena"
"06","072","6","Lob�n"
"06","075","0","Magacela"
"06","076","3","Maguilla"
"06","077","9","Malcocinado"
"06","078","5","Malpartida de la Serena"
"06","079","8","Manchita"
"06","080","2","Medell�n"
"06","081","9","Medina de las Torres"
"06","082","4","Mengabril"
"06","083","0","M�rida"
"06","084","5","Mirandilla"
"06","085","8","Monesterio"
"06","086","1","Montemol�n"
"06","087","7","Monterrubio de la Serena"
"06","088","3","Montijo"
"06","089","6","Morera, La"
"06","090","0","Nava de Santiago, La"
"06","091","7","Navalvillar de Pela"
"06","092","2","Nogales"
"06","093","8","Oliva de la Frontera"
"06","094","3","Oliva de M�rida"
"06","095","6","Olivenza"
"06","096","9","Orellana de la Sierra"
"06","097","5","Orellana la Vieja"
"06","098","1","Palomas"
"06","099","4","Parra, La"
"06","100","8","Pe�alsordo"
"06","101","5","Peraleda del Zaucejo"
"06","102","0","Puebla de Alcocer"
"06","103","6","Puebla de la Calzada"
"06","104","1","Puebla de la Reina"
"06","107","3","Puebla de Obando"
"06","108","9","Puebla de Sancho P�rez"
"06","105","4","Puebla del Maestre"
"06","106","7","Puebla del Prior"
"06","902","2","Pueblonuevo del Guadiana"
"06","109","2","Quintana de la Serena"
"06","110","6","Reina"
"06","111","3","Rena"
"06","112","8","Retamal de Llerena"
"06","113","4","Ribera del Fresno"
"06","114","9","Risco"
"06","115","2","Roca de la Sierra, La"
"06","116","5","Salvale�n"
"06","117","1","Salvatierra de los Barros"
"06","119","0","San Pedro de M�rida"
"06","123","2","San Vicente de Alc�ntara"
"06","118","7","Sancti-Sp�ritus"
"06","120","4","Santa Amalia"
"06","121","1","Santa Marta"
"06","122","6","Santos de Maimona, Los"
"06","124","7","Segura de Le�n"
"06","125","0","Siruela"
"06","126","3","Solana de los Barros"
"06","127","9","Talarrubias"
"06","128","5","Talavera la Real"
"06","129","8","T�liga"
"06","130","2","Tamurejo"
"06","131","9","Torre de Miguel Sesmero"
"06","132","4","Torremayor"
"06","133","0","Torremej�a"
"06","134","5","Trasierra"
"06","135","8","Trujillanos"
"06","136","1","Usagre"
"06","137","7","Valdecaballeros"
"06","901","7","Valdelacalzada"
"06","138","3","Valdetorres"
"06","139","6","Valencia de las Torres"
"06","140","0","Valencia del Mombuey"
"06","141","7","Valencia del Ventoso"
"06","146","9","Valle de la Serena"
"06","147","5","Valle de Matamoros"
"06","148","1","Valle de Santa Ana"
"06","142","2","Valverde de Burguillos"
"06","143","8","Valverde de Legan�s"
"06","144","3","Valverde de Llerena"
"06","145","6","Valverde de M�rida"
"06","149","4","Villafranca de los Barros"
"06","150","7","Villagarc�a de la Torre"
"06","151","4","Villagonzalo"
"06","152","9","Villalba de los Barros"
"06","153","5","Villanueva de la Serena"
"06","154","0","Villanueva del Fresno"
"06","156","6","Villar de Rena"
"06","155","3","Villar del Rey"
"06","157","2","Villarta de los Montes"
"06","158","8","Zafra"
"06","159","1","Zah�nos"
"06","160","5","Zalamea de la Serena"
"06","162","7","Zarza, La"
"06","161","2","Zarza-Capilla"